...1,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3,Short ref,Full ref,coordinateX-WGS84,coordinateY-WGS84
695,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G02024.HOL_2,NA,NA,NA,NA,NA,NA
696,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,France,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G02032.FRA_2,NA,NA,NA,NA,NA,NA
697,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,France,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G02033.FRA_2,NA,NA,NA,NA,NA,NA
698,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,France,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G03002.FRA_2,NA,NA,NA,NA,NA,NA
699,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,France,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G8919.FRA_2,NA,NA,NA,NA,NA,NA
700,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9366.HOL_2,NA,NA,NA,NA,NA,NA
701,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9367.HOL_2,NA,NA,NA,NA,NA,NA
702,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9372.HOL_2,NA,NA,NA,NA,NA,NA
703,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9376.HOL_2,NA,NA,NA,NA,NA,NA
704,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Poland,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9394.POL_2,NA,NA,NA,NA,NA,NA
705,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9395.GER_2,NA,NA,NA,NA,NA,NA
706,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9396.GER_2,NA,NA,NA,NA,NA,NA
707,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9399.GER_2,NA,NA,NA,NA,NA,NA
708,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Denmark,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G94109.DEN_2,NA,NA,NA,NA,NA,NA
709,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G94113.HOL_2,NA,NA,NA,NA,NA,NA
710,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G94116.HOL_2,NA,NA,NA,NA,NA,NA
711,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9437.GER_2,NA,NA,NA,NA,NA,NA
712,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9439.GER_2,NA,NA,NA,NA,NA,NA
713,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9440.GER_2,NA,NA,NA,NA,NA,NA
714,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9441.GER_2,NA,NA,NA,NA,NA,NA
715,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Denmark,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9479.DEN_2,NA,NA,NA,NA,NA,NA
716,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Netherlands,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9480.HOL_2,NA,NA,NA,NA,NA,NA
717,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Germany,Davis et al. (2005),"Davis PL, Holmes EC, Larrous F, Van der Poel WH, TjÃ¸rnehÃ¸j K, Alonso WJ, Bourhy H. Phylogeography, population dynamics, and molecular evolution of European bat lyssaviruses. J Virol. 2005 Aug;79(16):10487-97. doi: 10.1128/JVI.79.16.10487-10497.2005. PMID: 16051841; PMCID: PMC1182613.",European bat lyssavirus G9481.GER_2,NA,NA,NA,NA,NA,NA
718,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,Unpublished,Unpublished,European bat lyssavirus G_122938-2002,NA,NA,NA,NA,NA,NA
719,Eptesicus_serotinus,Viruses,Reoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Slovenia,Unpublished,Unpublished,Mammalian orthoreovirus SI-MRV02,NA,NA,NA,NA,NA,NA
720,Eptesicus_serotinus,Viruses,Reoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Slovenia,Unpublished,Unpublished,Mammalian orthoreovirus SI-MRV04,NA,NA,NA,NA,NA,NA
721,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poland,Unpublished,Unpublished,Rabies lyssavirus 019N,NA,NA,NA,NA,NA,NA
722,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poland,Unpublished,Unpublished,Rabies lyssavirus 067N,NA,NA,NA,NA,NA,NA
723,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,Unpublished,Unpublished,Rabies lyssavirus 128683,NA,NA,NA,NA,NA,NA
724,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,Unpublished,Unpublished,Rabies lyssavirus 129668,NA,NA,NA,NA,NA,NA
725,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Culture,NA,NA,NA,NA,NA,Netherlands,Dacheux et al. (2016),"Dacheux L, Larrous F, Lavenir R, Lepelletier A, Faouzi A, Troupin C, Nourlil J, Buchy P, Bourhy H. Dual Combined Real-Time Reverse Transcription Polymerase Chain Reaction Assay for the Diagnosis of Lyssavirus Infection. PLoS Negl Trop Dis. 2016 Jul 5;10(7):e0004812. doi: 10.1371/journal.pntd.0004812. PMID: 27380028; PMCID: PMC4933377.",Rabies lyssavirus 9480HOL,NA,NA,NA,NA,NA,NA
726,Eptesicus_serotinus,Viruses,Rhabdoviridae,NA,NA,NA,Swabs,NA,NA,NA,NA,NA,Germany,Fischer et al. (2014),"Fischer M, Freuling CM, MÃ¼ller T, Schatz J, Rasmussen TB, Chriel M, Balkema-Buschmann A, Beer M, Hoffmann B. Identification of rhabdoviral sequences in oropharyngeal swabs from German and Danish bats. Virol J. 2014 Nov 25;11:196. doi: 10.1186/s12985-014-0196-x. PMID: 25420461; PMCID: PMC4247638.",Rhabdovirus 27676,NA,NA,NA,NA,NA,NA
727,Eptesicus_serotinus,Viruses,Adenoviridae,NA,NA,NA,Uncertain,NA,NA,NA,NA,NA,Hungary,Vidovszky et al. (2015),"Vidovszky MZ, Kohl C, Boldogh S, GÃ¶rfÃ¶l T, Wibbelt G, Kurth A, Harrach B. Random sampling of the Central European bat fauna reveals the existence of numerous hitherto unknown adenoviruses. Acta Vet Hung. 2015 Dec;63(4):508-25. doi: 10.1556/004.2015.047. PMID: 26599097.",serotine bat adenovirus 1 BS14,NA,NA,NA,NA,NA,NA
728,Eptesicus_serotinus,Viruses,Adenoviridae,NA,NA,NA,Uncertain,NA,NA,NA,NA,NA,Germany,Vidovszky et al. (2015),"Vidovszky MZ, Kohl C, Boldogh S, GÃ¶rfÃ¶l T, Wibbelt G, Kurth A, Harrach B. Random sampling of the Central European bat fauna reveals the existence of numerous hitherto unknown adenoviruses. Acta Vet Hung. 2015 Dec;63(4):508-25. doi: 10.1556/004.2015.047. PMID: 26599097.",serotine bat adenovirus 2 492/08,NA,NA,NA,NA,NA,NA
729,Eptesicus_serotinus,Viruses,Adenoviridae,NA,NA,NA,Uncertain,NA,NA,NA,NA,NA,Germany,Vidovszky et al. (2015),"Vidovszky MZ, Kohl C, Boldogh S, GÃ¶rfÃ¶l T, Wibbelt G, Kurth A, Harrach B. Random sampling of the Central European bat fauna reveals the existence of numerous hitherto unknown adenoviruses. Acta Vet Hung. 2015 Dec;63(4):508-25. doi: 10.1556/004.2015.047. PMID: 26599097.",vespertilionid adenovirus 4 492/08,NA,NA,NA,NA,NA,NA
730,Hypsugo_savii,Viruses,Coronaviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Spain,FalcÃ³n et al. (2011),"FalcÃ³n A, VÃ¡zquez-MorÃ³n S, Casas I, Aznar C, Ruiz G, Pozo F, Perez-BreÃ±a P, Juste J, IbÃ¡Ã±ez C, Garin I, Aihartza J, EchevarrÃ­a JE. Detection of alpha and betacoronaviruses in multiple Iberian bat species. Arch Virol. 2011 Oct;156(10):1883-90. doi: 10.1007/s00705-011-1057-1. Epub 2011 Jul 16. PMID: 21766197; PMCID: PMC3181409.",Alphacoronavirus H.sav/L/Spain/2007,NA,NA,NA,NA,NA,NA
731,Hypsugo_savii,Viruses,Adenoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Spain,Iglesias-Caballero et al. (2018),"Iglesias-Caballero M, Juste J, VÃ¡zquez-MorÃ³n S, Falcon A, Aznar-Lopez C, IbÃ¡Ã±ez C, Pozo F, Ruiz G, Berciano JM, Garin I, Aihartza J, EchevarrÃ­a JE, Casas I. New Adenovirus Groups in Western Palaearctic Bats. Viruses. 2018 Aug 20;10(8):443. doi: 10.3390/v10080443. PMID: 30127258; PMCID: PMC6116233.",Bat adenovirus Hsa6_070704SS,NA,NA,NA,NA,NA,NA
732,Hypsugo_savii,Viruses,Adenoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Spain,Unpublished,Unpublished,Bat adenovirus Hsa_070613-2,NA,NA,NA,NA,NA,NA
733,Hypsugo_savii,Viruses,Adenoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Spain,Unpublished,Unpublished,Bat adenovirus Hsa_070703-2,NA,NA,NA,NA,NA,NA
734,Hypsugo_savii,Viruses,Adenoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Spain,Unpublished,Unpublished,Bat adenovirus Hsa_070704-6,NA,NA,NA,NA,NA,NA
735,Hypsugo_savii,Viruses,Coronaviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Italy,Lelli et al. (2013),"Lelli D, Papetti A, Sabelli C, Rosti E, Moreno A, Boniotti MB. Detection of coronaviruses in bats of various species in Italy. Viruses. 2013 Oct 31;5(11):2679-89. doi: 10.3390/v5112679. PMID: 24184965; PMCID: PMC3856409.",Betacoronavirus H.sav/Italy/206645-40/2011,NA,NA,NA,NA,NA,NA
736,Hypsugo_savii,Viruses,Coronaviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Spain,FalcÃ³n et al. (2011),"FalcÃ³n A, VÃ¡zquez-MorÃ³n S, Casas I, Aznar C, Ruiz G, Pozo F, Perez-BreÃ±a P, Juste J, IbÃ¡Ã±ez C, Garin I, Aihartza J, EchevarrÃ­a JE. Detection of alpha and betacoronaviruses in multiple Iberian bat species. Arch Virol. 2011 Oct;156(10):1883-90. doi: 10.1007/s00705-011-1057-1. Epub 2011 Jul 16. PMID: 21766197; PMCID: PMC3181409.",Betacoronavirus H.sav/J/Spain/2007,NA,NA,NA,NA,NA,NA
737,Hypsugo_savii,Viruses,Herpesviridae,NA,NA,NA,Swabs,NA,NA,NA,NA,NA,Spain,Pozo et al. (2016),"Pozo F, Juste J, VÃ¡zquez-MorÃ³n S, Aznar-LÃ³pez C, IbÃ¡Ã±ez C, Garin I, Aihartza J, Casas I, Tenorio A, EchevarrÃ­a JE. Identification of Novel Betaherpesviruses in Iberian Bats Reveals Parallel Evolution. PLoS One. 2016 Dec 30;11(12):e0169153. doi: 10.1371/journal.pone.0169153. PMID: 28036408; PMCID: PMC5201282.",Hypsugo savii betaherpesvirus 1 HsavBHV1,NA,NA,NA,NA,NA,NA
738,Hypsugo_savii,Viruses,Rhabdoviridae,NA,NA,NA,Swabs,NA,NA,NA,NA,NA,Spain,Aznar-Lopez et al. (2013),"Aznar-Lopez C, Vazquez-Moron S, Marston DA, Juste J, IbÃ¡Ã±ez C, Berciano JM, Salsamendi E, Aihartza J, Banyard AC, McElhinney L, Fooks AR, Echevarria J. Detection of rhabdovirus viral RNA in oropharyngeal swabs and ectoparasites of Spanish bats. J Gen Virol. 2013 Jan;94(Pt 1):69-75. doi: 10.1099/vir.0.046490-0. Epub 2012 Oct 24. PMID: 23100368.",Hypsugo savii rhabdovirus 1 Spain.070613.07,NA,NA,NA,NA,NA,NA
739,Hypsugo_savii,Viruses,Poxviridae,NA,NA,NA,Mix,NA,NA,NA,NA,NA,Italy,Lelli et al. (2019),"Lelli D, Lavazza A, Prosperi A, Sozzi E, Faccin F, Baioni L, Trogu T, Cavallari GL, Mauri M, Gibellini AM, Chiapponi C, Moreno A. Hypsugopoxvirus: A Novel Poxvirus Isolated fromÂ Hypsugo saviiÂ in Italy. Viruses. 2019 Jun 19;11(6):568. doi: 10.3390/v11060568. PMID: 31248065; PMCID: PMC6631891.",Hypsugopox virus 251170-23/2017,NA,NA,NA,NA,NA,NA
740,Hypsugo_savii,Viruses,Coronaviridae,NA,NA,NA,Mix,NA,NA,NA,NA,NA,Italy,Moreno et al. (2017),"Moreno A, Lelli D, de Sabato L, Zaccaria G, Boni A, Sozzi E, Prosperi A, Lavazza A, Cella E, Castrucci MR, Ciccozzi M, Vaccari G. Detection and full genome characterization of two beta CoV viruses related to Middle East respiratory syndrome from bats in Italy. Virol J. 2017 Dec 19;14(1):239. doi: 10.1186/s12985-017-0907-1. Erratum in: Virol J. 2018 Jan 12;15(1):10. PMID: 29258555; PMCID: PMC5735805.",Middle East respiratory syndrome coronavirus Bat-CoV/H.savii/Italy/206645-40/2011,NA,NA,NA,NA,NA,NA
741,Miniopterus_schreibersii,Viruses,Coronaviridae,NA,NA,NA,Swabs,NA,NA,NA,NA,NA,Spain,FalcÃ³n et al. (2011),"FalcÃ³n A, VÃ¡zquez-MorÃ³n S, Casas I, Aznar C, Ruiz G, Pozo F, Perez-BreÃ±a P, Juste J, IbÃ¡Ã±ez C, Garin I, Aihartza J, EchevarrÃ­a JE. Detection of alpha and betacoronaviruses in multiple Iberian bat species. Arch Virol. 2011 Oct;156(10):1883-90. doi: 10.1007/s00705-011-1057-1. Epub 2011 Jul 16. PMID: 21766197; PMCID: PMC3181409.",Alphacoronavirus M.sch/A/Spain/2004,NA,NA,NA,NA,NA,NA
742,Miniopterus_schreibersii,Viruses,Rhabdoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Spain,ArÃ©chiga-Ceballos et al. (2013),"ArÃ©chiga Ceballos N, VÃ¡zquez MorÃ³n S, Berciano JM, NicolÃ¡s O, Aznar LÃ³pez C, Juste J, RodrÃ­guez Nevado C, Aguilar SetiÃ©n A, EchevarrÃ­a JE. Novel lyssavirus in bat, Spain. Emerg Infect Dis. 2013 May;19(5):793-5. doi: 10.3201/eid1905.121071. PMID: 23648051; PMCID: PMC3647500.",Lleida bat lyssavirus lleidabat2012,NA,NA,NA,NA,NA,NA
743,Miniopterus_schreibersii,Viruses,Filoviridae,NA,NA,NA,Tissue,NA,NA,NA,NA,NA,Hungary,Kemenesi et al. (2018),"Kemenesi G, Kurucz K, Dallos B, Zana B, FÃ¶ldes F, Boldogh S, GÃ¶rfÃ¶l T, Carroll MW, Jakab F. Re-emergence of Lloviu virus in Miniopterus schreibersii bats, Hungary, 2016. Emerg Microbes Infect. 2018 Apr 18;7(1):66. doi: 10.1038/s41426-018-0067-4. PMID: 29670087; PMCID: PMC5906664.",Lloviu cuevavirus Mad/2016/Hungary,NA,NA,NA,NA,NA,NA
744,Miniopterus_schreibersii,Viruses,Parvoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Hungary,Kemenesi et al. (2015),"Kemenesi G, Dallos B, GÃ¶rfÃ¶l T, EstÃ³k P, Boldogh S, Kurucz K, Oldal M, Marton S, BÃ¡nyai K, Jakab F. Genetic diversity and recombination within bufaviruses: Detection of a novel strain in Hungarian bats. Infect Genet Evol. 2015 Jul;33:288-92. doi: 10.1016/j.meegid.2015.05.017. Epub 2015 May 16. PMID: 25989375; PMCID: PMC7172660.",Bat parvovirus BtBV_V3 BtBV/V3/HUN/2013,NA,NA,NA,NA,NA,NA
745,Miniopterus_schreibersii,Viruses,Parvoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Hungary,Kemenesi et al. (2015),"Kemenesi G, Dallos B, GÃ¶rfÃ¶l T, EstÃ³k P, Boldogh S, Kurucz K, Oldal M, Marton S, BÃ¡nyai K, Jakab F. Genetic diversity and recombination within bufaviruses: Detection of a novel strain in Hungarian bats. Infect Genet Evol. 2015 Jul;33:288-92. doi: 10.1016/j.meegid.2015.05.017. Epub 2015 May 16. PMID: 25989375; PMCID: PMC7172660.",Bat parvovirus BtBV_V7 BtBV/V7/HUN/2013,NA,NA,NA,NA,NA,NA
746,Miniopterus_schreibersii,Viruses,Reoviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Serbia,et al. (2017),"BÃ¡nyai K, Kemenesi G, Budinski I, FÃ¶ldes F, Zana B, Marton S, Varga-Kugler R, Oldal M, Kurucz K, Jakab F. Candidate new rotavirus species in Schreiber's bats, Serbia. Infect Genet Evol. 2017 Mar;48:19-26. doi: 10.1016/j.meegid.2016.12.002. Epub 2016 Dec 6. PMID: 27932285; PMCID: PMC7106153.",Rotavirus J BO4351/Ms/2014,NA,NA,NA,NA,NA,NA
747,Miniopterus_schreibersii,Viruses,Rhabdoviridae,NA,NA,NA,Swabs,NA,NA,NA,NA,NA,Spain,Aznar-Lopez et al. (2013),"Aznar-Lopez C, Vazquez-Moron S, Marston DA, Juste J, IbÃ¡Ã±ez C, Berciano JM, Salsamendi E, Aihartza J, Banyard AC, McElhinney L, Fooks AR, Echevarria J. Detection of rhabdovirus viral RNA in oropharyngeal swabs and ectoparasites of Spanish bats. J Gen Virol. 2013 Jan;94(Pt 1):69-75. doi: 10.1099/vir.0.046490-0. Epub 2012 Oct 24. PMID: 23100368.",Miniopterus schreibersii rhabdovirus 1 Spain.080623.08,NA,NA,NA,NA,NA,NA
748,Miniopterus_schreibersii,Viruses,Picornaviridae,NA,NA,NA,Feces,NA,NA,NA,NA,NA,Hungary,Kemenesi et al. (2015),"Kemenesi G, Zhang D, Marton S, Dallos B, GÃ¶rfÃ¶l T, EstÃ³k P, Boldogh S, Kurucz K, Oldal M, Kutas A, BÃ¡nyai K, Jakab F. Genetic characterization of a novel picornavirus detected in Miniopterus schreibersii bats. J Gen Virol. 2015 Apr;96(Pt 4):815-821. doi: 10.1099/jgv.0.000028. Epub 2014 Dec 16. PMID: 25516541.",Bat picornavirus BatPV/V1/13/Hun,NA,NA,NA,NA,NA,NA
